CanonicalMixedStrategy,MaxImprovedCount
Centroids_saturation_low+Farthest,6
Centroids_saturation_medium+Farthest,6
Centroids_saturation_high+K-Means,6
Farthest+LHS,6
Centroids_saturation_medium+ODAL,5
K-Center+K-Means,5
Centroids_saturation_low+ODAL,5
K-Means+Top5Similarity,5
Centroids_saturation_low+K-Center,5
Centroids_saturation_medium+Random,5
K-Center+ODAL,5
Centroids_saturation_high+Top5Similarity,5
LHS+Top5Similarity,5
Centroids_saturation_high+ODAL,5
Farthest+Random,5
Centroids_saturation_high+K-Center,5
Centroids_saturation_high+Farthest,5
Farthest+K-Means,4
K-Center+Random,4
Centroids_saturation_medium+Top5Similarity,4
K-Center+Top5Similarity,4
K-Means+ODAL,4
Centroids_saturation_medium+K-Means,4
Centroids_saturation_medium+K-Center,4
Centroids_saturation_low+Top5Similarity,4
LHS+ODAL,4
ODAL+Random,4
K-Center+LHS,4
K-Means+LHS,3
K-Means+Random,3
Random+Top5Similarity,3
Centroids_saturation_low+Random,3
Centroids_saturation_low+K-Means,3
Centroids_saturation_high+Random,3
Farthest+Top5Similarity,2
Centroids_saturation_high+Centroids_saturation_medium,2
Centroids_saturation_medium+LHS,2
Centroids_saturation_low+LHS,2
Centroids_saturation_low+Centroids_saturation_medium,2
LHS+Random,2
Centroids_saturation_high+LHS,2
Centroids_saturation_high+Centroids_saturation_low,2
Farthest+ODAL,1
Farthest+K-Center,1
