version,cluster,cx,cy
Saturation_and_Contrast_+,1,1696,1033
Saturation_and_Contrast_+,2,1589,1201
Saturation_and_Contrast_+,3,1513,1647
Saturation_and_Contrast_+,4,1659,1471
Saturation_and_Contrast_+,5,2083,626
Saturation_and_Contrast_++,1,1509,1222
Saturation_and_Contrast_++,2,1480,1586
Saturation_and_Contrast_++,3,1634,1444
Saturation_and_Contrast_++,4,1940,955
Saturation_and_Contrast_++,5,1862,1173
Saturation_and_Contrast_+++,1,1539,1271
Saturation_and_Contrast_+++,2,1832,1119
Saturation_and_Contrast_+++,3,1366,1509
Saturation_and_Contrast_+++,4,2042,604
Saturation_and_Contrast_+++,5,1793,685
